year,users,consumer_users,professional_users,enterprise_users,blended_arpu_monthly,revenue,platform_operations,staffing_professional_services,legal_compliance,marketing_sales,payment_processing,total_operating_expenses,ebitda,ebitda_margin,capex,change_in_working_capital,cash_taxes,free_cash_flow,pv_free_cash_flow
Year 1,1000,850,130,20,111.37,1336440.0,120000,960000,84000,180000,40093.2,1384093.2,-47653.2,-0.0357,66822.0,26728.8,0.0,-141204.0,-119664.41
Year 2,5000,4250,650,100,111.37,6682200.0,480000,2100000,180000,750000,200466.0,3710466.0,2971734.0,0.4447,334110.0,106915.2,624064.14,1906644.66,1369322.51
Year 3,15000,12750,1950,300,111.37,20046600.0,1200000,4800000,600000,2250000,601398.0,9451398.0,10595202.0,0.5285,1002330.0,267288.0,2224992.42,7100591.58,4321639.25
Year 4,50000,42500,6500,1000,111.37,66822000.0,4800000,18000000,1800000,8000000,2004660.0,34604660.0,32217340.0,0.4821,3341100.0,935508.0,6765641.4,21175090.6,10921876.16
Year 5,100000,85000,13000,2000,111.37,133644000.0,11400000,45600000,5400000,14000000,4009320.0,80409320.0,53234680.0,0.3983,6682200.0,1336440.0,11179282.8,34036757.2,14877780.26
